"Numbering","Source","HusbandName","HusbandTribe","HusbandSubtribe1","HusbandSubtribe2","HusbandSubtribe3","HusbandSubtribe4","nonQurayshAffilation","HusbandGeneration","WifeName","WifeTribe","WifeSubtribe1","WifeSubtribe2","WifeSubtribe3","WifeSubtribe4","nonQurayshGeneology","WifeGeneration","Sons","Daughters","Geography","Notes1","Notes2","Notes3","Notes4","H Lat","H Lng","W Lat","W Lng"
1077,"NQ171","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"ام كلثوم بنت محمد بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,7,2,,,,,,,,,,
1078,"NQ171","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"ام سليمان بنت عامر ذى الغصة بن الحرش بن كعب بن قيس","Unknown",,,,,,,2,1,,"Wife tribal link from search on MS for Harsh b. Ka'b","Dhay al-Ghisa appears in some Yemeni genealogies",,,,,,
1079,"NQ171","هشام بن عبد الملك بن مروان","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,8,"آمنة بنت يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,,,,"Tazawwajha","In wife's father's section",,,,,,
1080,"NQ172","يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"زينب بنت عبد الرحمن بن الحارث بن هشام","Quraysh","Makhzum",,,,,7,1,1,,,,,,,,,
1081,"NQ171","عبد العزيز بن الوليد بن عبد الملك بن مروان بن الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,9,"ام الحكم بنت يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,,,,"Tazawwajha","In wife's father's section","Not great alignment",,,,,
1082,"NQ172","هشام بن عبد الملك","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,8,"ام الحكم بنت يحيى بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,,,,"Khalaf alayha","In wife's father's section",,,,,,
1083,"NQ172","حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"مريم بنت عبد الله بن ابو معقل بن نهيل بن اساف من بنو حارثة من الاوس","Aws","Harith",,,,,,,1,,,,,,,,,
1084,"NQ172","عثمان بن ابان بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام عبد الله بنت حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,,1,,"In wife's father's section",,,,,,,
1085,"NQ172","عمر بن الوليد بن عبد الملك","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,9,"ام عبد الله بنت حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,4,,,"Khalaf alayha","In wife's father's section",,,,,,
1086,"NQ172","بشر بن الوليد بن عبد الملك","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,9,"ام عبد الله بنت حبيب بن الحكم بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,1,,,"In wife's father's section",,,,,,,
1087,"NQ173","المغيرة بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"بسرة بنت صفوان بن نوفل بن اسد بن عبد العزى","Quraysh","Qusayy","Asad",,,,5,1,,,,,,,,,,
1088,"NQ173","معاوية بن المغيرة بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"فاطمة بنت عامر بن حذيم بن سلامان بن ربيعة بن سعد بن اسد بن جمح","Quraysh","Jumah",,,,,7,,1,,,,,,,,,
1089,"NQ173","مروان بن الحكم","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,6,"عائشة بنت معاوية بن المغيرة بن ابو العاصى","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,1,,,"In wife's father's section",,,,,,,
1090,"NQ174","العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,4,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,"NQ280",,1,2,,,,,,,,,
1092,"NQ173","حكيم بن امية بن حارثة بن الاوقص السلمى","Qays Aylan","Sulaym",,,,"Tribal link to Sulaym given on NQ345.16",,"ضعیفة بنت العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,1,,,"In wife's father's section","Husband has a second marriage mentioned on 348",,,,,,
1094,"NQ174","المطعم بن نوفل","Unclear",,,,,,5,"ريطة بنت البياع بن عبد ياليل بن ناشب بن غيرة بن سعد (بن ليث بن بكر )","Kinana","Layth",,,,"NQ280",,1,,,"Genealogy garbled here","Confusion between bin and bint in text",,,,,,
1095,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"صفية بنت المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,,4,4,,,"Also married her sister",,,,,,,
1096,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"هند بنت المغيرة بن عبد الله بن عمر بن مخزوم","Quraysh","Makhzum",,,,,4,2,1,,"Also married her sister",,,,,,,
1097,"NQ174","ابو العاصى بن الربيع بن عبد العزى بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,5,"فاختة بنت سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,,1,,"In wife's father's section",,,,,,,
1100,"NQ174","سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"ام خالد بنت خباب بن عبد ياليل بن ناشب بن غيرة بن سعد بن ليث بن بكر ","Kinana","Layth",,,,,,1,,,,,,,,,,
1101,"NQ176","العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"ام كلثوم بنت عمرو بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل بن عامر بن لؤى","Quraysh","Amir b. Lu'ayy",,,,,5,1,,,"9.5 generation correlation",,,,,,,
1102,"NQ178","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام البنين بنت الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,2,,,,,,,,,,
1103,"NQ179","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام حبيب بنت جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,1,,,,,,,,,,
1104,"NQ179","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"العالية بنت سلمة بن يزيد بن مشجعة بن المجمع بن مالك بن كعب بن سعد بن عوف بن حريم بن جعفى بن سعد العشيرة","Yemen ","Madhhij",,,,"NQ101",,1,,,,,,,,,,
1105,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"Woman of Kinana","Kinana",,,,,,,1,,,,,,,,,,
1106,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام عمرو بنت عثمان بن عفان","Quraysh","Qusayy","Abd Shams","Umayyad","Uthman",,7,4,1,,,,,,,,,
1107,"NQ180","خالد بن يزيد بن معاوية بن ابو سفيان","Quraysh","Qusayy","Abd Shams","Umayyad","Sufyanid",,8,"آمنة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,1,,,,,,,,,,
1108,"NQ180","الوليد بن عبد الملك بن مروان","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,8,"آمنة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"Khalaf alayha",,,,,,,
1110,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام سلمة بنت حبيب بن بجير بن عامر بن مالك بن جعفر بن كلاب","Qays Aylan","Amir b. Sa'sa'a","Malik of Ja'far of Kilab",,,,,1,,,,,,,,,,
1111,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"بنت عثمان بن عفان","Quraysh","Qusayy","Abd Shams","Umayyad","Uthman",,7,1,,,,,,,,,,
1113,"NQ180","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"Concubine","Of Balanjar, Caucusus",,,,,,,,,,,,,,,,,
1114,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"Concubine",,,,,,,,1,1,,,,,,,,,
1115,"NQ181","عبد الرحمن بن يزيد بن معاوية بن ابو سفيان","Quraysh","Qusayy","Abd Shams","Umayyad","Sufyanid",,8,"مریم بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,1,,,,,,,,,,
1116,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"بنت سلمة بن قيس بن علاثة بن عوف بن الاحوص بن جعفر","Qays Aylan","Amir b. Sa'sa'a","Kilab b. Rabi'a",,,"Al-Ahwas b. Ja'far referred to as Kilabi in multiple outside sources",,1,,,"Tribal affiliation based on al-Ahwas b. Ja'far found through Maktaba Shamila",,,,,,,
1117,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"عائشة بنت جرير بن عبد الله البجلى","Bajila",,,,,,,1,1,,,,,,,,,
1118,"NQ181","شعبة","Thaqif",,,,,,,"عائشة بنت جرير بن عبد الله البجلى","Bajila",,,,,,,1,,,"See EI2 on the son, Mughira b. Shu'ba","Sibling relationship","Sibling relationship",,,,,
1119,"NQ181","عيسى بن طلحة","Quraysh","Taym b. Murra",,,,,6,"عائشة بنت جرير بن عبد الله البجلى","Bajila",,,,,,,1,,,,"Sibling relationship","Sibling relationship",,,,,
1120,"NQ181","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"بنت عامر بن مالك بن عامر","Bajila",,,,,,,,3,,,,,,,,,
1121,"NQ181","خالد بن عقبة (بن ابو معيط بن ابو عمرو بن امية)","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"رملة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"Tazawwajha","In wife's father's section",,,,,,
1122,"NQ181","يزيد بن معاوية بن ابو سفيان","Quraysh","Qusayy","Abd Shams","Umayyad","Sufyanid",,7,"رملة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"Khalaf alayha","In wife's father's section",,,,,,
1125,"NQ181","محمد بن عثمان بن محمد بن ابو سفيان","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"اميمة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"Tazawwajha","In wife's father's section",,,,,,
1126,"NQ182","سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"Concubines",,,,,,,,2,,,"We are told they produced many girls",,,,,,,
1127,"NQ181","عثمان بن عنبسة بن عمرو بن عثمان بن عفان","Quraysh","Qusayy","Abd Shams","Umayyad","Uthman",,9,"حميدة بنت سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,,2,,,,,,,,,,
1128,"NQ182","عمرو بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"ام حبيب بنت حريث بن سليم من بنو عذرة","Udhra",,,,,,,4,1,,,,,,,,,
1129,"NQ182"," امية بن عمرو بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,9,"Concubine",,,,,,,,1,,,"Produces Faqih",,,,,,,
1130,"NQ182","موسى بن عمرو بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,9,"Concubine",,,,,,,,1,,,"Produces hadith transmitter",,,,,,,
1131,"NQ182","يحيى بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"ام عيسى بنت عبيد الله بن عمر بن الخطاب","Quraysh","Adi b. Ka'b",,,,,7,1,,,,,,,,,,
1132,"NQ183","عنبسة بن سعيد بن العاصى بن سعيد بن العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"Concubine",,,,,,,,1,,,,,,,,,,
1133,"NQ187","ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,4,"اروى بنت اسيد بن عمرو بن علاج بن ابو سلمة من ثقيف","Thaqif",,,,,,,,,,,"Brother married someone with an almost identical name - see NQ101",,,,,,
1134,"NQ187","اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,"زينب بنت ابو عمرو بن امية","Quraysh","Qusayy","Abd Shams","Umayyad",,,5,2,,,,,,,,,,
1135,"NQ187","عتاب بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"جويرية بنت ابو جهل بن هشام بن المغيرة  (بن عبدالله بن عمر بن مخزوم)","Quraysh","Makhzum",,,,,6,1,,,"Embedded in husband's father's section",,,,,,,
1136,"NQ188","خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,6,"ريطة بنت عبد الله بن خزاعى بن اسيد بن الحويرث بن الحارث بن حبيب بن الحارث بن مالك بن حطيط بن جشم من ثقيف","Thaqif",,,,,,,3,,,,,,,,,,
1137,"NQ188","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"بنت المكعبر","Persian",,,,,"Mukabar was the Persian governor of Bahrayn",,1,,,"Father of wife also known as Azadh Firuz b. Jushnas; the Arabic name means 'The mutilator'. He was the Persian governor of Bahrayn during the rise of Islam","Embedded in husband's father's section",,,,,,
1140,"NQ190","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"ام حبيب بنت جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,2,,,,,,,,,,
1142,"NQ191","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"سرية بنت حصن بن حذيفة بن بدر الفزارى","Ghatafan","Fazara",,,,,,2,,,,,,,,,,
1143,"NQ192","عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"مليكة بنت حصين بن عبد يغوث بن مروان","Yemen","Madhhij","Murad",,,"Ibn Sa'd, in footnote",,2,4,"Yemen","Genealogy in NQ prob wrong - LP refers back to Ibn Sa'd",,,,,,,
1146,"NQ192","عبد العزيز بن الوليد بن عبد الملك بن مروان بن الحكم بن ابو العاصى بن امية","Quraysh","Qusayy","Abd Shams","Umayyad","Marwanid",,9,"ام محمد بنت عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"In wife's father's section","Tazawwajat",,,,,,
1147,"NQ192","خالد بن عبد الله بن عمر بن عثمان بن عفان","Quraysh","Qusayy","Abd Shams","Umayyad","Uthman",,9,"ام محمد بنت عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,,,,"In wife's father's section","Khalaf alayha",,,,,,
1149,"NQ192","خالد بن عبد الله بن خالد بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,8,"عائشة بنت عبد الله بن خلف بن اسعد بن عامر بن بياضة الخزاعى","Khuza'a ",,,,,,,2,,,,,,,,,,
1151,"NQ193","عبد الرحمن بن عتاب بن اسيد بن ابو العيص بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad",,,7,"بنت ابو اهاب بن عزيز (بن قيس بن سويد بن ربيعة بن زيد بن عبد الله بن دارم)","Tamim",,,,,"Longer genealogy on NQ204; short patriline with Tamimi nisba given NQ417",,1,,,,,,,,,,
1153,"NQ197","نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,2,"ام الخيار/هند بنت وهيب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور اخوة سليم بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,1,,,,,,,,,,
1154,"NQ197","الحارث بن جابر بن وهب بن نسيب","Qays Aylan","Mazin b. Mansur",,,,,,"ام الخيار/هند بنت وهيب بن نسيب بن زيد بن مالك بن عوف بن الحارث بن مازن بن منصور اخوة سليم بن منصور","Qays Aylan","Mazin b. Mansur",,,,,,,1,,"Sibling relationship",,,,,,,
1156,"NQ197","نافع بن جبير بن مطعم بن عدى","Quraysh","Adi b. Ka'b",,,,,6,"بنت عبید الله بن عباس","Quraysh","Qusayy","Hashim","Abbasid",,,6,1,,,"Interjected story",,,,,,,
1157,"NQ198","نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,2,"قلابة بنت جابر بن نصر بن مالك بن حسل (بن عامر بن لؤي N366)","Quraysh","Amir b. Lu'ayy",,,,,2,3,2,,,,,,,,,
1158,"NQ198","امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,"Tribal link to Sulaym given on NQ345.16",,"امة بنت نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,,1,,"In wife's father's section",,,,,,,
1159,"NQ198","بجاد بن قيس بن سويد من بنو كنانة","Kinana   ",,,,,,,"امة بنت نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,1,,,"In wife's father's section",,,,,,,
1160,"NQ198","مدرك بن هاشم بن سعيد بن سهم","Quraysh","Sahm",,,,,3,"ضعيفة بنت نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,,,,"In wife's father's section","Laha",,,,,,
1161,"NQ198","نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,2,"فكيهة بنت جندل بن ابير بن نهشل بن دارم","Tamim","Darim","Nahshal",,,"EI2 - Tamim",,1,,,,,,,,,,
1162,"NQ198","عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,"الناقصة بنت اسد بن عبد العزى بن قصى","Quraysh","Qusayy","Asad",,,,3,2,1,,,,,,,,,
1163,"NQ198","عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,"فاختة بنت عباس بن عامر بن حي بن رعل بن مالك بن عوف بن امرى القيس بن بهثة بن سليم بن منصور","Qays Aylan","Sulaym b. Mansur",,,,,,2,,,,,,,,,,
1164,"NQ200","عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,"الرباب بنت الحارث بن حباب","Unknown",,,,,,,1,,,,,,,,,,
1165,"NQ200","سفيان بن امية (بن عبد شمس NQ429)","Quraysh","Qusayy","Abd Shams","Umayyad",,,4,"الرباب بنت الحارث بن حباب","Unknown",,,,,,,1,,,"Sibling relationship",,,,,,,
1166,"NQ200","عبد الله بن عمير بن اهيب بن حذافة بن جمح","Quraysh","Jumah",,,,,4,"الرباب بنت الحارث بن حباب","Unknown",,,,,,,1,,,"Sibling relationship",,,,,,,
1168,"NQ201","مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,4,"ام جميل بنت شعبة بن عبد الله بن ابو قيس بن عبد ود بن نصر بن مالك بن حسل (بن عامر بن لؤى)","Quraysh","Amir b. Lu'ayy",,,,,5,1,,,,,,,,,,
1169,"NQ201","جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"ام قتال بنت نافع بن ضريب بن عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,5,1,,,,,,,,,
1172,"NQ201","جبير بن مطعم بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"قوالة بنت الحكم بن قريع بن حكيم بن امية بن حارثة بن الاوقص","Qays Aylan","Sulaym",,,,"Tribal link to Sulaym given on NQ345.16",,1,,,,,,,,,,
1173,"NQ201","الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,4,"ام اناس بنت امية/عبد امية بن عبد شمس","Quraysh","Qusayy","Abd Shams",,,,4,1,,,,,,,,,,
1174,"NQ201","الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,4,"ام فاختة بنت عباس بن عامر بن حي بن رعل","Qays Aylan","Sulaym",,,,"Tribal link to Sulaym given on NQ345.16",,1,,,"Wife previously married to father",,,,,,,
1175,"NQ201","عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"اثاثة/هند بنت سفيان بن امية بن عبد شمس","Quraysh","Abd Shams","Umayyad",,,,5,1,,,,,,,,,,
1176,"NQ201","عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"ام قتال بنت اسيد بن ابو العيص","Quraysh","Abd Shams","Umayyad",,,,6,1,,,,,,,,,,
1177,"NQ201","عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"Unnamed",,,,,,,,1,,,,,,,,,,
1178,"NQ201","عياض بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"عصماء بنت عمرو بن امية بن علاج من ثقيف","Thaqif",,,,,,,1,,,,,,,,,,
1179,"NQ202","عدى بن عياض بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,7,"Unnamed",,,,,,,,1,,,,,,,,,,
1180,"NQ202","عبيد الله بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Concubine",,,,,,,,1,,,,,,,,,,
1181,"NQ202","عبيد الله بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Unnamed",,,,,,,,2,1,,,,,,,,,
1182,"NQ202","عبد الله بن الفضل بن عباس بن ربيعة بن الحارث بن عبد المطلب","Quraysh","Qusayy","Hashim",,,,8,"عبيدة بنت عبيد الله بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,7,,"Girls",,,,,,,,,
1183,"NQ202","عبد الله بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Concubine",,,,,,,,2,,,,,,,,,,
1184,"NQ202","عبد العزيز بن عبد الله بن عدى الاكبر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,7,"Concubine",,,,,,,,1,,,,,,,,,,
1185,"NQ202","عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"بنت سلمة بن غيلان بن سلمة بن مالك الثقفي","Thaqif",,,,,,,1,,,,,,,,,,
1186,"NQ202","عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"Woman of Banu Hilal","Qays Aylan","Amir b. Sa'sa'a","Hilal",,,,,2,,,,,,,,,,
1187,"NQ202","عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"Concubine",,,,,,,,1,,,,,,,,,,
1188,"NQ202","عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"بنت ابو سفيان بن امية بن عبد شمس","Quraysh","Qusayy","Abd Shams","Umayyad","Sufyanid",,5,,,,,,,,,,,
1189,"NQ202","عبد الرحمن بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Woman of Banu Ri'l","Qays Aylan","Sulaym b. Mansur","Ri'l",,,,,2,,,,,,,,,,
1190,"NQ202","عبد الرحمن بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Concubine",,,,,,,,1,,,"Concubine named as Rayhana",,,,,,,
1191,"NQ202","شعبة بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"حميدة بنت عبيد الله بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,7,1,,,"Cousin marriage",,,,,,,
1192,"NQ202","الولید بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"Woman of Banu Ri'l","Qays Aylan","Sulaym b. Mansur","Ri'l",,,,,2,,,,,,,,,,
1193,"NQ202","الولید بن عدى الاصغر بن الخيار بن عدى بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,6,"ام البنين بنت هاشم بن ابو سفيان بن عثمان","Quraysh","Qusayy","Abd Shams","Umayyad","Uthman",,,3,,,,,,,,,,
1194,"NQ203","عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,"ام قتال بنت عبد بن الحارث بن زهرة بن كلاب","Quraysh","Zuhra",,,,,3,1,,,,,,,,,,
1198,"NQ204","طريف بن عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,4,"صفية بنت عبيد الله بن بجاد من بنو ملكان من كنانة","Kinana","Malkan",,,,,,1,,,,,,,,,,
1199,"NQ204","نافع بن طريف بن عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,5,"غنية بنت ابو اهاب بن عزيز بن قيس بن سويد بن ربيعة بن زيد بن عبد الله بن دارم","Tamim","Darim",,,,"EI2 - Tamim",,3,1,,,,,,,,,
1201,"NQ204","عبد عمرو بن نوفل بن عبد مناف","Quraysh","Qusayy","Nawfal",,,,3,"عاتكة بنت الاخيف بن علقمة بن عبد بن الحارث بن منقذ بن عمرو بن معيص (بن عامر بن لؤى)","Quraysh","Amir b. Lu'ayy",,,,,5,1,,,,,,,,,,
1202,"NQ204","زمعة بن قيس بن عبد شمس بن عبد ود بن نصر بن مالك (بن حسل بن عامر بن لؤي NQ366)","Quraysh","Amir b. Lu'ayy",,,,,4,"عاتكة بنت الاخيف بن علقمة بن عبد بن الحارث بن منقذ بن عمرو بن معيص (بن عامر بن لؤى)","Quraysh","Amir b. Lu'ayy",,,,,5,1,,,"Sibling relationship",,,,,,,
