Numbering,Source,HusbandName,HusbandTribe ,HusbandSubtribe1,HusbandSubtribe2,HusbandSubtribe3,HusbandSubtribe4,Source for non-Qurashi tribal affiliation,HusbandGeneration ,WifeName,WifeTribe,WifeSubtribe1,WifeSubtribe2,WifeSubtribe3,WifeSubtribe4,Source for non-Qurashi genealogy,WifeGeneration,Sons,Daughters,H Lat,H Lng,W Lat,W Lng
256,NQ45,___ ____ ______ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,__ ____ ___ ___ __ ___ ____ __ ___ ______,Quraysh,Qusayy,Hashim,Alid,,,6,3,1,,,,
267,NQ46,_____ __ ___ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,_____ ___ ___,Quraysh,Qusayy,Hashim,Alid,,,6,,,,,,
262,NQ45,___ ______ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,_____ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,2,,,,,
252,NQ45,____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,____ ______ ___ ___,Quraysh,Qusayy,Hashim,Alid,,,6,3,,,,,
250,NQ45,___ ______/___ ____ __ ___ _____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,____ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,,,,,,
253,NQ45,____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,____ ______ ___ ___ ,Quraysh,Qusayy,Hashim,Alid,,,6,3,,,,,
133,NQ25,___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,____ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,1,1,,,,
257,NQ45,___ ____ ______ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,______ ___ ___ ,Quraysh,Qusayy,Hashim,Alid,,,6,1,,,,,
514,NQ80,___ __ ___,Quraysh,Qusayy,Hashim,Alid,,,6,_____ ___ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,2,1,,,,
291,NQ51,____ __ ___,Quraysh,Qusayy,Hashim,Alid,,,6,__ ___ ____ ___ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,,1,,,,
1303,NQ235,___ ____ __ ___ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,6,__ ____ __ ____ __ ___ ___ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,1,,,,,
127,NQ23,_____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,6,__ _____ ___ ____  ,Quraysh,Qusayy,Hashim,,,,6,,,,,,
1758,NQ338,____ __ ___ ____ __ ___ _____ __ ____ __ ___ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,6,___ ____ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,,,,,,
126,NQ22,_____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,6,____ ___ ____,Quraysh,Qusayy,Hashim,,,,6,1,,,,,
1214,NQ205,___ ______ __ ___ ____ __ ______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,6,__ ___ ____ ___ ____ __ ______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Nawfal,,,,6,1,,,,,
789,NQ126,______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,____ ___ ____ __ ___ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,,,,,,
552,NQ86,______ __ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,6,___ ___ ___ _____ __ ___,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,1,,,,,
1804,NQ346,_____ __ ____ __ ___ __ ____ __ ____ __ _____ __ _____,Quraysh,Makhzum,,,,,6,____ ___ ___ ____ __ ___ ____ __ ____,Quraysh,Qusayy,Umayyad,,,,6,1,,,,,
1767,NQ339,___ ____ __ ______ __ ____ __ ______ __ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,6,__ ____ ___ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,6,1,,,,,
982,NQ159,___ _____ __ ______ __ ____ __ ______ __ ____ __ ___ __ _____,Quraysh,Makhzum,,,,,6,__ ____ ___ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,6,1,,,,,
983,NQ159,___ ______ __ ___ ___ __ ____ __ ___ ____ __ ___ ___ __ ___ __ __ ___ __ ____ __ ___ __ ____ __ ___,Quraysh,Amir b. Lu'ayy,,,,,6,_____/_____ ___ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,6,2,,,,,
865,NQ134,_____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,____ ___ ____ __ ___ __ ____,Quraysh,Qusayy,Umayyad,,,,6,1,,,,,
1337,NQ246,____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,6,_____ ___ ______ __ ___ _______,Quraysh,Qusayy,Asad,,,,7,2,,,,,
1261,NQ221,____ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,_____ ___ ___ ____ __ ______ __ ___ ____ __ ______ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,7,2,,,,,
277,NQ50,___ ____ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,__ ______ ___ ___ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,1,1,,,,
352,NQ59,_______ __ ___ ______ __ ___,Quraysh,Zuhra,,,,,6,_____ ___ ______,Quraysh,Qusayy,Hashim,Alid,Husaynid,,7,,,,,,
348,NQ59,____ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,_____ ___ ______,Quraysh,Qusayy,Hashim,Alid,Husaynid,,7,,,,,,
473,NQ76,____ __ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,_______ __ ___ ______ ___ ___ ______ __ ____ (__ ______ __ ___ ______ NQ86),Quraysh,Qusayy,Hashim,,,,7,2,4,,,,
161,NQ29,___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,6,__ _____ ___ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,1,,,,,
476,NQ76,____ __ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,__ ____ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,2,,,,,
1077,NQ171,____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,6,__ _____ ___ ____ __ _____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,7,2,,,,,
213,NQ37,___ ____ __ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,6,____ ___ ___ ____ __ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,7,1,,,,,
660,NQ112,_____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,Marwanid,,,6,__ ____ ______ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
1068,NQ170,______ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,6,_____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,2,,,,,
664,NQ112,___ ____ __ ______,Quraysh,Asad,Zubayrid,,,,6,_____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
658,NQ111,___ ______ __ ______ __ ____ __ _______,Quraysh,Makhzum,,,,,6,____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,1,,,,
891,NQ146,______ __ ___ _______ __ ____ __ ______ __ ___ __ ___ _____,Quraysh,Qusayy,Asad,,,,6,__ ____ ___ ____ __ ___ ____ __ ___ ____ __ ____,Quraysh,Qusayy,Umayyad,,,,7,,1,,,,
1089,NQ173,_____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,6,_____ ___ ______ __ _______ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,1,,,,,
1191,NQ202,____ __ ___ ______ __ ______ __ ___ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,6,_____ ___ ____ ____ __ ___ ______ __ ______ __ ___ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,7,1,,,,,
1543,NQ290,____ __ ___ __ ____ ____ __ ____ __ _____ __ ____ __ ___,Quraysh,Taym b. Murra,,,,,6,_____ ___ ______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,8,1,1,,,,
814,NQ130,_____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,__ _____ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,1,,,,
1074,NQ171,___ ______ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,6,__ ______ ___ ___ ____ __ ____ __ ____,Quraysh,Qusayy,Umayyad,,,,8,2,,,,,
2037,NQ385,___ ____ __ ____ __ ______ __ _____ __ ____ __ ___ __ ____ __ ____ __ ___ __ ___,Quraysh,Adi b. Ka'b,,,,,6,__ ___ _____ ___ ___ ____ __ ____ __ ____ __ ___ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,8,2,,,,,
1075,NQ171,____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,6,__ _____ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Umayyad,,,,8,2,1,,,,
206,NQ37,____ ____ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,6,__ ____ ___ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,,,,,,,
1193,NQ202,______ __ ___ ______ __ ______ __ ___ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,6,__ ______ ___ ____ __ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Uthmanid,,,,3,,,,,
985,NQ160,___ ____ __ ______ __ ____,Quraysh,Makhzum,,,,,6,_____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,,,,,,,
1338,NQ246,____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,6,__ ____ ___ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,,3,,,,,
806,NQ128,____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ____ ___ ___ ____ __ ____ __ _____,Quraysh,Qusayy,Abd Shams,,,,5,2,,,,,
1421,NQ267,___ ____ __ ______ __ ____ __ ____ (__ _____ __ ______ __ ____ __ _____ __ ____ __ ___ __ ____ __ ___ NQ432),Quraysh,Amir b. Lu'ayy,,,,,7,____ ___ ____ __ ____ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,5,,,,,,
965,NQ156,___ ____/____ __ ___ ______ __ ____ ____ __ ____,Quraysh,Qusayy,,,,,7,_____ ___ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,2,1,,,,
1246,NQ214,___ ______ __ ______ __ ___ _______ __ ____ __ ______ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,7,____ ___ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,1,,,,,
751,NQ121,______ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,_____ ___ ______,Quraysh,Qusayy,Asad,Zubayrid,,,6,1,,,,,
1293,NQ233,_____ __ ___ ____ __ ____ __ ____ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,7,____ ___ ______ __ ______,Quraysh,Qusayy,Asad,,,,6,2,,,,,
192,NQ32,_____ __ ____ ____ __ ____ __ ____ __ ______ __ ___ __ ___ _____,Quraysh,Qusayy,Asad,,,,7,_______ ___ ____ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,6,1,,,,,
195,NQ32,___ __ ___ __ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,_____ ___ ____ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,6,,1,,,,
188,NQ32,___ ____ __ ___ ______ __ ______ __ ____ (__ _______),Quraysh,Makhzum,,,,,7,______ ___ ____ ____ __ ____,Quraysh,Qusayy,Hashim,Abbasid,,,6,2,,,,,
251,NQ45,______ __ _____ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,____ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,6,,,,,,
266,NQ46,______ __ _____ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ ___,Quraysh,Qusayy,Hashim,Alid,,,6,2,,,,,
265,NQ46,____ __ ______ __ ___ _______ ( __ ____ __ ______ __ ___ __ ___ _____),Quraysh,Qusayy,Asad,,,,7,_____ ___ ___,Quraysh,Qusayy,Hashim,Alid,,,6,,2,,,,
264,NQ46,____ __ ___ ____ __ ____,Quraysh,Qusayy,Hashim,,,,7,_____ ___ ___,Quraysh,Qusayy,Hashim,Alid,,,6,,1,,,,
555,NQ86,___ ____ __ ______ __ ____,Quraysh,Qusayy,Hashim,,,,7,____ ___ ____ __ ___ ___ __ ___ ______ __ ____,Quraysh,Qusayy,Hashim,,,,6,1,,,,,
280,NQ50,____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,____ ___ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,1,,,,,
545,NQ85,___ __ ___ __ _____ __ ___ ____ __ ____ __ ______ __ ___ ____,Quraysh,Qusayy,,,,,7,____ ___ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,6,,1,,,,
758,NQ121,____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,____ ___ _____ __ ___ __ ____,Quraysh,Qusayy,Umayyad,Sufyanid,,,6,1,1,,,,
1102,NQ178,____ __ ______ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,7,__ ______ ___ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,6,2,,,,,
1103,NQ179,____ __ ______ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ ____ __ ____ __ ___ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,6,1,,,,,
1140,NQ190,___ ____ __ ____ __ ____ __ ___ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ ____ __ ____ __ ___ __ ____ __ ___ ____,Quraysh,Qusayy,,,,,6,2,,,,,
1628,NQ309,___ ___ __ ___ ______ __ ______ __ ____ __ _______ __ ___ ____ __ ___ __ _____ __ ____ __ ___ __ ___ __ ___ __ ____ __ ___,Quraysh,Makhzum,,,,,7,_____ ___ ___ ____ __ ____ __ ______ __ ______,Quraysh,Qusayy,,,,,6,2,,,,,
807,NQ129,____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ _____ ___ ___ ____ __ ____ __ ____ __ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Abd Shams,,,,7,1,1,,,,
1060,NQ169,____ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,___ ____ __ ___ ____ __ ____ __ _____ __ ___ ___,Quraysh,Qusayy,Abd Shams,,,,7,1,1,,,,
911,NQ149,___ ____ __ ____ __ ____ __ _____ __ ____ __ ___ ___,Quraysh,Qusayy,,,,,7,____ ___ ______ __ ____,Quraysh,Qusayy,Abd Shams,,,,7,3,,,,,
1344,NQ250,___ __ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,7,__ ______ ___ ____ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,1,,,,,
1330,NQ243,____ __ ___ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ _______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,1,,,,,
1325,NQ242,____ __ ___ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ ___ ____ __ ____ __ ____ (__ _____),Quraysh,Qusayy,Asad,,,,7,2,,,,,
279,NQ50,____ __ ______ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,__ ____ ___ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,,,,,,
278,NQ50,___ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,__ ___ ____ ___ _____,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,3,,,,,
356,NQ59,___ ______ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,7,__ ___ ____ ___ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,4,,,,,
283,NQ50,___ ____ __ ____ __ ______ __ _____,Unknown,,,,,,7,__ ____ ___ ____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,,,,,,
354,NQ59,_____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,_____ ___ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,7,,,,,,
509,NQ79,____ ____ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,,,7,__ _____ ___ ___ ____ __ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,1,1,,,,
200,NQ33,_______ __ ___ ____ __ ____ (__ ____ __ ___ ______ NQ37),Quraysh,Qusayy,Hashim,Abbasid,,,7,__ ____ ___ ____ __ ____ ____ __ ____,Quraysh,Qusayy,Hashim,Abbasid,,,7,2,,,,,
167,NQ30,____ __ ____ __ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,_____ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Abbasid,,,7,,,,,,
478,NQ76,___ ____ ___ ____ __ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,,,7,_____ ___ ____ __ ____ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,1,1,,,,
214,NQ38,______ ______ __ ___ ____ __ ____,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ _____ ___ ____ __ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,7,1,,,,,
290,NQ51,______ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,7,__ ____ ___ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,,,7,,1,,,,
533,NQ83,___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ _____ ___ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,,,,,,
480,NQ76,___ ____ ___ ____ __ ____ __ ___,Quraysh,Qusayy,Hashim,Alid,,,7,__ ______ ___ ______ __ ____ __ ______ (__ ___ ______),Quraysh,Qusayy,Hashim,,,,7,,2,,,,
525,NQ82,______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,__ _____ ___ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,,1,,,,
535,NQ83,____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ____ ___ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,,,,,,
753,NQ121,______ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,__ ____ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,,1,,,,
803,NQ128,____ __ _____ __  ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,____ ___ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,2,,,,,
860,NQ134,_____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,_____ ___ _____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,,,,,,
805,NQ128,____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,_____ ___ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,,,,,,
845,NQ132,___ ______ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,_____ ___ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,1,,,,,
662,NQ112,___ ____ __ ____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
661,NQ112,___ ____ __ ____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,,,,7,__ _____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
1106,NQ180,____ __ ______ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,4,1,,,,
1111,NQ180,____ __ ______ __ ____ __ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,7,___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,1,,,,,
663,NQ112,_____ __ ______ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,_____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
659,NQ111,___ _____ __ _____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,Marwanid,,,7,____ ___ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,,,,,,
1084,NQ172,_____ __ ____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,__ ___ ____ ___ ____ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,,1,,,,
991,NQ160,___ _____ __ ______ __ _____,Quraysh,Qusayy,Umayyad,,,,7,__ _____ ___ _____ __ _____ __ ___ ______ __ ____,Quraysh,Qusayy,Umayyad,,,,7,,,,,,
1069,NQ170,___ _____ __ ______ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,__ ____ ___ ___ ______ __ _____,Quraysh,Qusayy,Umayyad,,,,7,1,1,,,,
1067,NQ170,____ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,7,__ _____ ___ ______ __ _____ __ ___ ______,Quraysh,Qusayy,Umayyad,,,,7,,,,,,
918,NQ150,____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ _____ ___ ___ ____ __ ____ __ ____ __ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Abd Shams,,,,8,,,,,,
836,NQ132,___ ____ __ ______ __ ___ _____ __ ___,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,___ ______ ___ ___ ____ __ ____ __ ____ __ _____ __ ____ __ ___ ___,Quraysh,Qusayy,Abd Shams,,,,8,,1,,,,
1269,NQ227,___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,___ ___ ___ _____ __ ___ ____ __ ____ __ ______ __ ______ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,,,,8,,,,,,
303,NQ53,______ __ ___ ____ __ ____ ____ __ ____ __ ___ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ ______ ___ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,,,,,,
300,NQ52,____ __ ____ __ ___ ____ __ ______ __ _____ ,Quraysh,Makhzum,,,,,7,_____  ___ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,,,,,,
299,NQ52,______ __ ___ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,7,_____  ___ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,2,2,,,,
301,NQ53,____ __ ____ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ _____ __ _____ __ ___,Quraysh,Qusayy,Hashim,Alid,Hasanid,,8,,1,,,,
363,NQ62,_____ __ ___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ _____ ___ ___ ______ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,8,2,,,,,
358,NQ62,____ __ ___ __ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Alid,,,7,_____ ___ ___ ______ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,8,,,,,,
364,NQ62,_____ __ ___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,_____ ___ ___ ______ __ ______ __ ___,Quraysh,Qusayy,Hashim,Alid,Husaynid,,8,,1,,,,
166,NQ30,___ ____ __ ______ __ ___ ____ __ ____ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ ____ ______ ___ ___ __ ___ ____,Quraysh,Qusayy,Hashim,Abbasid,,,8,,,,,,
203,NQ33,_____ __ ___ ____ __ ____ ____ __ ____,Quraysh,Qusayy,Hashim,Abbasid,,,7,____ _____ ______ __ ____ __ ____ __ ___ ___ __ ___ ______,Quraysh,Qusayy,Hashim,,,,8,,1,,,,
172,NQ30,____ __ ___ __ ___ ____ __ ______,Quraysh,Qusayy,Hashim,Abbasid,,,7,__ _____ ___ ___ ____/___ __ ______ __ ____ __ ______ __ ___ ______,Quraysh,Qusayy,Hashim,,,,8,1,1,,,,
526,NQ82,____ __ ___ ____ __ ______ __ ______,Quraysh,Qusayy,Asad,Zubayrid,,,7,___ ______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,8,,,,,,
1320,NQ241,____ __ ___ ____ __ ______ __ ______ __ _____ __ ___ __ ___ _____ __ ____,Quraysh,Qusayy,Asad,Zubayrid,,,7,_____ ___ ______ __ ____ __ ____ __ ___ ____,Quraysh,Qusayy,Hashim,,,,8,2,,,,,
813,NQ130,____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ___ ______ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,,,,,
811,NQ130,____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,__ ____ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,,,,,
839,NQ132,___ ____ __ ___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,____ ___ ___ ____ __ ______ __ ___ _____ __ ___,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,,,,,
812,NQ130,____ __ ____ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,7,____ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,,,,,
808,NQ129,___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,_____ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,2,,,,,
1054,NQ169,___ ______ __ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,_____ ___ ___ ____ __ ______ __ ___ _____,Quraysh,Qusayy,Umayyad,Sufyanid,,,8,,2,,,,
748,NQ120,___ _____ __ _____,Quraysh,Qusayy,Umayyad,Marwanid,,,7,__ ____ ___ ___ __ _____ __ ____,Quraysh,Qusayy,Umayyad,Uthmanid,,,8,1,,,,,
